ntype TotalCurrent(trans_5d1_hetero_des) X,ntype TotalCurrent(trans_5d1_hetero_des) Y
3.07201e-11,1.43882e-05
3.08201e-11,1.43881e-05
3.09201e-11,1.4388e-05
3.10201e-11,1.43878e-05
3.11201e-11,1.43877e-05
3.12201e-11,1.43875e-05
3.13201e-11,1.43874e-05
3.14201e-11,1.43872e-05
3.15201e-11,1.43871e-05
3.16201e-11,1.4387e-05
3.17201e-11,1.43868e-05
3.18201e-11,1.43867e-05
3.19201e-11,1.43865e-05
3.20201e-11,1.43864e-05
3.21201e-11,1.43862e-05
3.22201e-11,1.43861e-05
3.23201e-11,1.43859e-05
3.24201e-11,1.43858e-05
3.25201e-11,1.43857e-05
3.26201e-11,1.43855e-05
3.27201e-11,1.43854e-05
3.28201e-11,1.43852e-05
3.29201e-11,1.43851e-05
3.30201e-11,1.43849e-05
3.31201e-11,1.43848e-05
3.32201e-11,1.43846e-05
3.33201e-11,1.43845e-05
3.34201e-11,1.43844e-05
3.35201e-11,1.43842e-05
3.36201e-11,1.43841e-05
3.37201e-11,1.43839e-05
3.38201e-11,1.43838e-05
3.39201e-11,1.43836e-05
3.40201e-11,1.43835e-05
3.41201e-11,1.43833e-05
3.42201e-11,1.43832e-05
3.43201e-11,1.4383e-05
3.44201e-11,1.43829e-05
3.45201e-11,1.43827e-05
3.46201e-11,1.43826e-05
3.47201e-11,1.43825e-05
3.48201e-11,1.43823e-05
3.49201e-11,1.43822e-05
3.50201e-11,1.4382e-05
3.51201e-11,1.43819e-05
3.52201e-11,1.43817e-05
3.53201e-11,1.43816e-05
3.54201e-11,1.43814e-05
3.55201e-11,1.43813e-05
3.56201e-11,1.43811e-05
3.57201e-11,1.4381e-05
3.58201e-11,1.43808e-05
3.59201e-11,1.43807e-05
3.60201e-11,1.43805e-05
3.61201e-11,1.43804e-05
3.62201e-11,1.43802e-05
3.63201e-11,1.43801e-05
3.64201e-11,1.43799e-05
3.65201e-11,1.43798e-05
3.66201e-11,1.43797e-05
3.67201e-11,1.43795e-05
3.68201e-11,1.43794e-05
3.69201e-11,1.43792e-05
3.70201e-11,1.43791e-05
3.71201e-11,1.43789e-05
3.72201e-11,1.43788e-05
3.73201e-11,1.43786e-05
3.74201e-11,1.43785e-05
3.75201e-11,1.43783e-05
3.76201e-11,1.43782e-05
3.77201e-11,1.4378e-05
3.78201e-11,1.43779e-05
3.79201e-11,1.43777e-05
3.80201e-11,1.43776e-05
3.81201e-11,1.43774e-05
3.82201e-11,1.43773e-05
3.83201e-11,1.43771e-05
3.84201e-11,1.4377e-05
3.85201e-11,1.43768e-05
3.86201e-11,1.43767e-05
3.87201e-11,1.43765e-05
3.88201e-11,1.43764e-05
3.89201e-11,1.43762e-05
3.90201e-11,1.43761e-05
3.91201e-11,1.43759e-05
3.92201e-11,1.43758e-05
3.93201e-11,1.43756e-05
3.94201e-11,1.43755e-05
3.95201e-11,1.43753e-05
3.96201e-11,1.43752e-05
3.97201e-11,1.4375e-05
3.98201e-11,1.43749e-05
3.99201e-11,1.43747e-05
4.00201e-11,1.43746e-05
4.01201e-11,1.43744e-05
4.02201e-11,1.43743e-05
4.03201e-11,1.43741e-05
4.04201e-11,1.4374e-05
4.05201e-11,1.43738e-05
4.06201e-11,1.43737e-05
4.07201e-11,1.43735e-05
4.08201e-11,1.43734e-05
4.09201e-11,1.43732e-05
4.10201e-11,1.43731e-05
4.11201e-11,1.43729e-05
4.12201e-11,1.43728e-05
4.13201e-11,1.43726e-05
4.14201e-11,1.43725e-05
4.15201e-11,1.43723e-05
4.16201e-11,1.43722e-05
4.17201e-11,1.4372e-05
4.18201e-11,1.43719e-05
4.19201e-11,1.43717e-05
4.20201e-11,1.43716e-05
4.21201e-11,1.43714e-05
4.22201e-11,1.43713e-05
4.23201e-11,1.43711e-05
4.24201e-11,1.4371e-05
4.25201e-11,1.43708e-05
4.26201e-11,1.43707e-05
4.27201e-11,1.43705e-05
4.28201e-11,1.43704e-05
4.29201e-11,1.43702e-05
4.30201e-11,1.43701e-05
4.31201e-11,1.43699e-05
4.32201e-11,1.43698e-05
4.33201e-11,1.43696e-05
4.34201e-11,1.43695e-05
4.35201e-11,1.43693e-05
4.36201e-11,1.43692e-05
4.37201e-11,1.4369e-05
4.38201e-11,1.43689e-05
4.39201e-11,1.43687e-05
4.40201e-11,1.43686e-05
4.41201e-11,1.43684e-05
4.42201e-11,1.43683e-05
4.43201e-11,1.43681e-05
4.44201e-11,1.4368e-05
4.45201e-11,1.43678e-05
4.46201e-11,1.43677e-05
4.47201e-11,1.43675e-05
4.48201e-11,1.43674e-05
4.49201e-11,1.43672e-05
4.50201e-11,1.43671e-05
4.51201e-11,1.43669e-05
4.52201e-11,1.43668e-05
4.53201e-11,1.43666e-05
4.54201e-11,1.43665e-05
4.55201e-11,1.43663e-05
4.56201e-11,1.43662e-05
4.57201e-11,1.4366e-05
4.58201e-11,1.43659e-05
4.59201e-11,1.43657e-05
4.60201e-11,1.43656e-05
4.61201e-11,1.43654e-05
4.62201e-11,1.43653e-05
4.63201e-11,1.43651e-05
4.64201e-11,1.43649e-05
4.65201e-11,1.43648e-05
4.66201e-11,1.43646e-05
4.67201e-11,1.43645e-05
4.68201e-11,1.43643e-05
4.69201e-11,1.43642e-05
4.70201e-11,1.4364e-05
4.71201e-11,1.43639e-05
4.72201e-11,1.43637e-05
4.73201e-11,1.43636e-05
4.74201e-11,1.43634e-05
4.75201e-11,1.43633e-05
4.76201e-11,1.43631e-05
4.77201e-11,1.4363e-05
4.78201e-11,1.43628e-05
4.79201e-11,1.43627e-05
4.80201e-11,1.43625e-05
4.81201e-11,1.43624e-05
4.82201e-11,1.43622e-05
4.83201e-11,1.43621e-05
4.84201e-11,1.43619e-05
4.85201e-11,1.43618e-05
4.86201e-11,1.43616e-05
4.87201e-11,1.43615e-05
4.88201e-11,1.43613e-05
4.89201e-11,1.43612e-05
4.90201e-11,1.4361e-05
4.91201e-11,1.43608e-05
4.92201e-11,1.43607e-05
4.93201e-11,1.43605e-05
4.94201e-11,1.43604e-05
4.95201e-11,1.43602e-05
4.96201e-11,1.43601e-05
4.97201e-11,1.43599e-05
4.98201e-11,1.43598e-05
4.99201e-11,1.43596e-05
5.00201e-11,1.43595e-05
5.01201e-11,1.43593e-05
5.02201e-11,1.43592e-05
5.03201e-11,1.4359e-05
5.04201e-11,1.43589e-05
5.05201e-11,1.43587e-05
5.06201e-11,1.43585e-05
5.07201e-11,1.43584e-05
5.08201e-11,1.43582e-05
5.09201e-11,1.43581e-05
5.10201e-11,1.43579e-05
5.11201e-11,1.43578e-05
5.12201e-11,1.43576e-05
5.13201e-11,1.43575e-05
5.14201e-11,1.43573e-05
5.15201e-11,1.43571e-05
5.16201e-11,1.4357e-05
5.17201e-11,1.43568e-05
5.18201e-11,1.43567e-05
5.19201e-11,1.43565e-05
5.20201e-11,1.43564e-05
5.21201e-11,1.43562e-05
5.22201e-11,1.43561e-05
5.23201e-11,1.43559e-05
5.24201e-11,1.43557e-05
5.25201e-11,1.43556e-05
5.26201e-11,1.43554e-05
5.27201e-11,1.43553e-05
5.28201e-11,1.43551e-05
5.29201e-11,1.43549e-05
5.30201e-11,1.43548e-05
5.31201e-11,1.43546e-05
5.32201e-11,1.43545e-05
5.33201e-11,1.43543e-05
5.34201e-11,1.43542e-05
5.35201e-11,1.4354e-05
5.36201e-11,1.43538e-05
5.37201e-11,1.43537e-05
5.38201e-11,1.43535e-05
5.39201e-11,1.43533e-05
5.40201e-11,1.43532e-05
5.41201e-11,1.4353e-05
5.42201e-11,1.43529e-05
5.43201e-11,1.43527e-05
5.44201e-11,1.43525e-05
5.45201e-11,1.43524e-05
5.46201e-11,1.43522e-05
5.47201e-11,1.43521e-05
5.48201e-11,1.43519e-05
5.49201e-11,1.43517e-05
5.50201e-11,1.43516e-05
5.51201e-11,1.43514e-05
5.52201e-11,1.43512e-05
5.53201e-11,1.43511e-05
5.54201e-11,1.43509e-05
5.55201e-11,1.43507e-05
5.56201e-11,1.43506e-05
5.57201e-11,1.43504e-05
5.58201e-11,1.43502e-05
5.59201e-11,1.43501e-05
5.60201e-11,1.43499e-05
5.61201e-11,1.43497e-05
5.62201e-11,1.43496e-05
5.63201e-11,1.43494e-05
5.64201e-11,1.43492e-05
5.65201e-11,1.43491e-05
5.66201e-11,1.43489e-05
5.67201e-11,1.43487e-05
5.68201e-11,1.43485e-05
5.69201e-11,1.43484e-05
5.70201e-11,1.43482e-05
5.71201e-11,1.4348e-05
5.72201e-11,1.43478e-05
5.73201e-11,1.43477e-05
5.74201e-11,1.43475e-05
5.75201e-11,1.43473e-05
5.76201e-11,1.43471e-05
5.77201e-11,1.4347e-05
5.78201e-11,1.43468e-05
5.79201e-11,1.43466e-05
5.80201e-11,1.43464e-05
5.81201e-11,1.43463e-05
5.82201e-11,1.43461e-05
5.83201e-11,1.43459e-05
5.84201e-11,1.43457e-05
5.85201e-11,1.43455e-05
5.86201e-11,1.43454e-05
5.87201e-11,1.43452e-05
5.88201e-11,1.4345e-05
5.89201e-11,1.43448e-05
5.90201e-11,1.43446e-05
5.91201e-11,1.43444e-05
5.92201e-11,1.43443e-05
5.93201e-11,1.43441e-05
5.94201e-11,1.43439e-05
5.95201e-11,1.43437e-05
5.96201e-11,1.43435e-05
5.97201e-11,1.43433e-05
5.98201e-11,1.43431e-05
5.99201e-11,1.4343e-05
6.00201e-11,1.43428e-05
6.01201e-11,1.43426e-05
6.02201e-11,1.43424e-05
6.03201e-11,1.43422e-05
6.04201e-11,1.4342e-05
6.05201e-11,1.43418e-05
6.06201e-11,1.43416e-05
6.07201e-11,1.43414e-05
6.08201e-11,1.43412e-05
6.09201e-11,1.4341e-05
6.10201e-11,1.43408e-05
6.11201e-11,1.43406e-05
6.12201e-11,1.43404e-05
6.13201e-11,1.43402e-05
6.14201e-11,1.434e-05
6.15201e-11,1.43398e-05
6.16201e-11,1.43396e-05
6.17201e-11,1.43394e-05
6.18201e-11,1.43392e-05
6.19201e-11,1.4339e-05
6.20201e-11,1.43388e-05
6.21201e-11,1.43386e-05
6.22201e-11,1.43384e-05
6.23201e-11,1.43381e-05
6.24201e-11,1.43379e-05
6.25201e-11,1.43377e-05
6.26201e-11,1.43375e-05
6.27201e-11,1.43373e-05
6.28201e-11,1.43371e-05
6.29201e-11,1.43369e-05
6.30201e-11,1.43366e-05
6.31201e-11,1.43364e-05
6.32201e-11,1.43362e-05
6.33201e-11,1.4336e-05
6.34201e-11,1.43358e-05
6.35201e-11,1.43355e-05
6.36201e-11,1.43353e-05
6.37201e-11,1.43351e-05
6.38201e-11,1.43349e-05
6.39201e-11,1.43346e-05
6.40201e-11,1.43344e-05
6.41201e-11,1.43342e-05
6.42201e-11,1.4334e-05
6.43201e-11,1.43337e-05
6.44201e-11,1.43335e-05
6.45201e-11,1.43333e-05
6.46201e-11,1.4333e-05
6.47201e-11,1.43328e-05
6.48201e-11,1.43325e-05
6.49201e-11,1.43323e-05
6.50201e-11,1.43321e-05
6.51201e-11,1.43318e-05
6.52201e-11,1.43316e-05
6.53201e-11,1.43313e-05
6.54201e-11,1.43311e-05
6.55201e-11,1.43308e-05
6.56201e-11,1.43306e-05
6.57201e-11,1.43303e-05
6.58201e-11,1.43301e-05
6.59201e-11,1.43298e-05
6.60201e-11,1.43296e-05
6.61201e-11,1.43293e-05
6.62201e-11,1.43291e-05
6.63201e-11,1.43288e-05
6.64201e-11,1.43285e-05
6.65201e-11,1.43283e-05
6.66201e-11,1.4328e-05
6.67201e-11,1.43277e-05
6.68201e-11,1.43275e-05
6.69201e-11,1.43272e-05
6.70201e-11,1.43269e-05
6.71201e-11,1.43267e-05
6.72201e-11,1.43264e-05
6.73201e-11,1.43261e-05
6.74201e-11,1.43258e-05
6.75201e-11,1.43256e-05
6.76201e-11,1.43253e-05
6.77201e-11,1.4325e-05
6.78201e-11,1.43247e-05
6.79201e-11,1.43244e-05
6.80201e-11,1.43242e-05
6.81201e-11,1.43239e-05
6.82201e-11,1.43236e-05
6.83201e-11,1.43233e-05
6.84201e-11,1.4323e-05
6.85201e-11,1.43227e-05
6.86201e-11,1.43224e-05
6.87201e-11,1.43221e-05
6.88201e-11,1.43218e-05
6.89201e-11,1.43215e-05
6.90201e-11,1.43212e-05
6.91201e-11,1.43209e-05
6.92201e-11,1.43206e-05
6.93201e-11,1.43203e-05
6.94201e-11,1.432e-05
6.95201e-11,1.43196e-05
6.96201e-11,1.43193e-05
6.97201e-11,1.4319e-05
6.98201e-11,1.43187e-05
6.99201e-11,1.43184e-05
7.00201e-11,1.43181e-05
7.01201e-11,1.43177e-05
7.02201e-11,1.43174e-05
7.03201e-11,1.43171e-05
7.04201e-11,1.43167e-05
7.05201e-11,1.43164e-05
7.06201e-11,1.43161e-05
7.07201e-11,1.43157e-05
7.08201e-11,1.43154e-05
7.09201e-11,1.43151e-05
7.10201e-11,1.43147e-05
7.11201e-11,1.43144e-05
7.12201e-11,1.4314e-05
7.13201e-11,1.43137e-05
7.14201e-11,1.43133e-05
7.15201e-11,1.4313e-05
7.16201e-11,1.43126e-05
7.17201e-11,1.43122e-05
7.18201e-11,1.43119e-05
7.19201e-11,1.43115e-05
7.20201e-11,1.43111e-05
7.21201e-11,1.43108e-05
7.22201e-11,1.43104e-05
7.23201e-11,1.431e-05
7.24201e-11,1.43097e-05
7.25201e-11,1.43093e-05
7.26201e-11,1.43089e-05
7.27201e-11,1.43085e-05
7.28201e-11,1.43081e-05
7.29201e-11,1.43077e-05
7.30201e-11,1.43074e-05
7.31201e-11,1.4307e-05
7.32201e-11,1.43066e-05
7.33201e-11,1.43062e-05
7.34201e-11,1.43058e-05
7.35201e-11,1.43054e-05
7.36201e-11,1.4305e-05
7.37201e-11,1.43046e-05
7.38201e-11,1.43042e-05
7.39201e-11,1.43037e-05
7.40201e-11,1.43033e-05
7.41201e-11,1.43029e-05
7.42201e-11,1.43025e-05
7.43201e-11,1.43021e-05
7.44201e-11,1.43016e-05
7.45201e-11,1.43012e-05
7.46201e-11,1.43008e-05
7.47201e-11,1.43003e-05
7.48201e-11,1.42999e-05
7.49201e-11,1.42995e-05
7.50201e-11,1.4299e-05
7.51201e-11,1.42986e-05
7.52201e-11,1.42981e-05
7.53201e-11,1.42977e-05
7.54201e-11,1.42972e-05
7.55201e-11,1.42968e-05
7.56201e-11,1.42963e-05
7.57201e-11,1.42959e-05
7.58201e-11,1.42954e-05
7.59201e-11,1.42949e-05
7.60201e-11,1.42945e-05
7.61201e-11,1.4294e-05
7.62201e-11,1.42935e-05
7.63201e-11,1.4293e-05
7.64201e-11,1.42926e-05
7.65201e-11,1.42921e-05
7.66201e-11,1.42916e-05
7.67201e-11,1.42911e-05
7.68201e-11,1.42906e-05
7.69201e-11,1.42901e-05
7.70201e-11,1.42896e-05
7.71201e-11,1.42891e-05
7.72201e-11,1.42886e-05
7.73201e-11,1.42881e-05
7.74201e-11,1.42876e-05
7.75201e-11,1.42871e-05
7.76201e-11,1.42865e-05
7.77201e-11,1.4286e-05
7.78201e-11,1.42855e-05
7.79201e-11,1.4285e-05
7.80201e-11,1.42844e-05
7.81201e-11,1.42839e-05
7.82201e-11,1.42834e-05
7.83201e-11,1.42828e-05
7.84201e-11,1.42823e-05
7.85201e-11,1.42817e-05
7.86201e-11,1.42812e-05
7.87201e-11,1.42806e-05
7.88201e-11,1.42801e-05
7.89201e-11,1.42795e-05
7.90201e-11,1.42789e-05
7.91201e-11,1.42784e-05
7.92201e-11,1.42778e-05
7.93201e-11,1.42772e-05
7.94201e-11,1.42767e-05
7.95201e-11,1.42761e-05
7.96201e-11,1.42755e-05
7.97201e-11,1.42749e-05
7.98201e-11,1.42743e-05
7.99201e-11,1.42737e-05
8.00201e-11,1.42731e-05
8.01201e-11,1.42725e-05
8.02201e-11,1.42719e-05
8.03201e-11,1.42713e-05
8.04201e-11,1.42707e-05
8.05201e-11,1.42701e-05
8.06201e-11,1.42695e-05
8.07201e-11,1.42688e-05
8.08201e-11,1.42682e-05
8.09201e-11,1.42676e-05
8.10201e-11,1.42669e-05
8.11201e-11,1.42663e-05
8.12201e-11,1.42657e-05
8.13201e-11,1.4265e-05
8.14201e-11,1.42644e-05
8.15201e-11,1.42637e-05
8.16201e-11,1.42631e-05
8.17201e-11,1.42624e-05
8.18201e-11,1.42617e-05
8.19201e-11,1.42611e-05
8.20201e-11,1.42604e-05
8.21201e-11,1.42597e-05
8.22201e-11,1.4259e-05
8.23201e-11,1.42583e-05
8.24201e-11,1.42577e-05
8.25201e-11,1.4257e-05
8.26201e-11,1.42563e-05
8.27201e-11,1.42556e-05
8.28201e-11,1.42549e-05
8.29201e-11,1.42542e-05
8.30201e-11,1.42535e-05
8.31201e-11,1.42527e-05
8.32201e-11,1.4252e-05
8.33201e-11,1.42513e-05
8.34201e-11,1.42506e-05
8.35201e-11,1.42498e-05
8.36201e-11,1.42491e-05
8.37201e-11,1.42484e-05
8.38201e-11,1.42476e-05
8.39201e-11,1.42469e-05
8.40201e-11,1.42461e-05
8.41201e-11,1.42454e-05
8.42201e-11,1.42446e-05
8.43201e-11,1.42439e-05
8.44201e-11,1.42431e-05
8.45201e-11,1.42423e-05
8.46201e-11,1.42415e-05
8.47201e-11,1.42408e-05
8.48201e-11,1.424e-05
8.49201e-11,1.42392e-05
8.50201e-11,1.42384e-05
8.51201e-11,1.42376e-05
8.52201e-11,1.42368e-05
8.53201e-11,1.4236e-05
8.54201e-11,1.42352e-05
8.55201e-11,1.42344e-05
8.56201e-11,1.42335e-05
8.57201e-11,1.42327e-05
8.58201e-11,1.42319e-05
8.59201e-11,1.42311e-05
8.60201e-11,1.42302e-05
8.61201e-11,1.42294e-05
8.62201e-11,1.42285e-05
8.63201e-11,1.42277e-05
